Result of the experiment
Training Accuracy = 0.882321
Validation Accuracy = 0.886497
Testing Accuracy = 0.877609

During the 50-th epoch:
Training Accuracy = 0.902667
Validation Accuracy = 0.866928
Testing Accuracy = 0.867173

During the 100-th epoch:
Training Accuracy = 0.938686
Validation Accuracy = 0.847358
Testing Accuracy = 0.845351

During the 200-th epoch:
Training Accuracy = 0.947209
Validation Accuracy = 0.78865
Testing Accuracy = 0.801708

During the 300-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.827789
Testing Accuracy = 0.832068

During the 500-th epoch:
Training Accuracy = 0.984328
Validation Accuracy = 0.837573
Testing Accuracy = 0.825427

During the 700-th epoch:
Training Accuracy = 0.991751
Validation Accuracy = 0.829746
Testing Accuracy = 0.815939

During the 1000-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.845401
Testing Accuracy = 0.828273

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.878471
Validation Accuracy = 0.882583
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.882583
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.899093
Validation Accuracy = 0.874755
Testing Accuracy = 0.852941

During the 100-th epoch:
Training Accuracy = 0.930987
Validation Accuracy = 0.855186
Testing Accuracy = 0.842505

During the 200-th epoch:
Training Accuracy = 0.927138
Validation Accuracy = 0.757339
Testing Accuracy = 0.766603

During the 300-th epoch:
Training Accuracy = 0.979654
Validation Accuracy = 0.804305
Testing Accuracy = 0.791271

During the 500-th epoch:
Training Accuracy = 0.936761
Validation Accuracy = 0.8591
Testing Accuracy = 0.85389

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.827789
Testing Accuracy = 0.819734

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.823875
Testing Accuracy = 0.808349

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.880626
Testing Accuracy = 0.875712

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.876712
Testing Accuracy = 0.872865

During the 50-th epoch:
Training Accuracy = 0.894968
Validation Accuracy = 0.878669
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.925488
Validation Accuracy = 0.831703
Testing Accuracy = 0.837761

During the 200-th epoch:
Training Accuracy = 0.958207
Validation Accuracy = 0.835616
Testing Accuracy = 0.839658

During the 300-th epoch:
Training Accuracy = 0.963431
Validation Accuracy = 0.804305
Testing Accuracy = 0.790323

During the 500-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.794521
Testing Accuracy = 0.806452

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.812133
Testing Accuracy = 0.826376

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.806262
Testing Accuracy = 0.819734

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.888454
Testing Accuracy = 0.879507

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.878669
Testing Accuracy = 0.87666

During the 50-th epoch:
Training Accuracy = 0.897718
Validation Accuracy = 0.874755
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.932637
Validation Accuracy = 0.827789
Testing Accuracy = 0.836812

During the 200-th epoch:
Training Accuracy = 0.914765
Validation Accuracy = 0.759296
Testing Accuracy = 0.778937

During the 300-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.818004
Testing Accuracy = 0.826376

During the 500-th epoch:
Training Accuracy = 0.992301
Validation Accuracy = 0.841487
Testing Accuracy = 0.839658

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.825832
Testing Accuracy = 0.835863

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.818004
Testing Accuracy = 0.823529

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.892219
Validation Accuracy = 0.882583
Testing Accuracy = 0.863378

During the 100-th epoch:
Training Accuracy = 0.929337
Validation Accuracy = 0.83953
Testing Accuracy = 0.833017

During the 200-th epoch:
Training Accuracy = 0.928513
Validation Accuracy = 0.755382
Testing Accuracy = 0.756167

During the 300-th epoch:
Training Accuracy = 0.949409
Validation Accuracy = 0.841487
Testing Accuracy = 0.841556

During the 500-th epoch:
Training Accuracy = 0.994776
Validation Accuracy = 0.816047
Testing Accuracy = 0.808349

During the 700-th epoch:
Training Accuracy = 0.985977
Validation Accuracy = 0.796477
Testing Accuracy = 0.796015

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.823875
Testing Accuracy = 0.802657

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.878471
Validation Accuracy = 0.888454
Testing Accuracy = 0.878558

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.88454
Testing Accuracy = 0.875712

During the 50-th epoch:
Training Accuracy = 0.896068
Validation Accuracy = 0.876712
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.923838
Validation Accuracy = 0.876712
Testing Accuracy = 0.862429

During the 200-th epoch:
Training Accuracy = 0.962332
Validation Accuracy = 0.804305
Testing Accuracy = 0.8074

During the 300-th epoch:
Training Accuracy = 0.976079
Validation Accuracy = 0.782779
Testing Accuracy = 0.795066

During the 500-th epoch:
Training Accuracy = 0.97113
Validation Accuracy = 0.835616
Testing Accuracy = 0.841556

During the 700-th epoch:
Training Accuracy = 0.995876
Validation Accuracy = 0.818004
Testing Accuracy = 0.826376

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.818004
Testing Accuracy = 0.822581

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.877609

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.882583
Testing Accuracy = 0.875712

During the 50-th epoch:
Training Accuracy = 0.898268
Validation Accuracy = 0.876712
Testing Accuracy = 0.868121

During the 100-th epoch:
Training Accuracy = 0.921089
Validation Accuracy = 0.863014
Testing Accuracy = 0.86148

During the 200-th epoch:
Training Accuracy = 0.890569
Validation Accuracy = 0.722113
Testing Accuracy = 0.733397

During the 300-th epoch:
Training Accuracy = 0.970305
Validation Accuracy = 0.786693
Testing Accuracy = 0.781784

During the 500-th epoch:
Training Accuracy = 0.981853
Validation Accuracy = 0.845401
Testing Accuracy = 0.829222

During the 700-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.827789
Testing Accuracy = 0.821632

During the 1000-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.810176
Testing Accuracy = 0.806452

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.877371
Validation Accuracy = 0.878669
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.878669
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.901017
Validation Accuracy = 0.863014
Testing Accuracy = 0.86907

During the 100-th epoch:
Training Accuracy = 0.932912
Validation Accuracy = 0.847358
Testing Accuracy = 0.816888

During the 200-th epoch:
Training Accuracy = 0.964531
Validation Accuracy = 0.823875
Testing Accuracy = 0.823529

During the 300-th epoch:
Training Accuracy = 0.962057
Validation Accuracy = 0.853229
Testing Accuracy = 0.837761

During the 500-th epoch:
Training Accuracy = 0.976629
Validation Accuracy = 0.823875
Testing Accuracy = 0.820683

During the 700-th epoch:
Training Accuracy = 0.996976
Validation Accuracy = 0.833659
Testing Accuracy = 0.809298

During the 1000-th epoch:
Training Accuracy = 0.987627
Validation Accuracy = 0.802348
Testing Accuracy = 0.79222

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 20-th epoch:
Training Accuracy = 0.883695
Validation Accuracy = 0.880626
Testing Accuracy = 0.877609

During the 50-th epoch:
Training Accuracy = 0.904867
Validation Accuracy = 0.868885
Testing Accuracy = 0.863378

During the 100-th epoch:
Training Accuracy = 0.918064
Validation Accuracy = 0.808219
Testing Accuracy = 0.808349

During the 200-th epoch:
Training Accuracy = 0.946934
Validation Accuracy = 0.872798
Testing Accuracy = 0.840607

During the 300-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.843444
Testing Accuracy = 0.830171

During the 500-th epoch:
Training Accuracy = 0.990652
Validation Accuracy = 0.827789
Testing Accuracy = 0.802657

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.855186
Testing Accuracy = 0.818786

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.816888

