Result of the experiment
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.891394
Validation Accuracy = 0.886497
Testing Accuracy = 0.875712

During the 100-th epoch:
Training Accuracy = 0.893869
Validation Accuracy = 0.886497
Testing Accuracy = 0.873814

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.87666

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.873814

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.878669
Testing Accuracy = 0.870968

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.873814

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.878558

During the 50-th epoch:
Training Accuracy = 0.889744
Validation Accuracy = 0.88454
Testing Accuracy = 0.877609

During the 100-th epoch:
Training Accuracy = 0.894418
Validation Accuracy = 0.878669
Testing Accuracy = 0.877609

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.878669
Testing Accuracy = 0.873814

During the 300-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.882583
Testing Accuracy = 0.873814

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.870019

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.872865

During the 1000-th epoch:
Training Accuracy = 0.897443
Validation Accuracy = 0.886497
Testing Accuracy = 0.873814

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.886995
Validation Accuracy = 0.88454
Testing Accuracy = 0.880455

During the 100-th epoch:
Training Accuracy = 0.894968
Validation Accuracy = 0.882583
Testing Accuracy = 0.872865

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.872865

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.87666

During the 500-th epoch:
Training Accuracy = 0.896618
Validation Accuracy = 0.888454
Testing Accuracy = 0.874763

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.87666

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.882583
Testing Accuracy = 0.874763

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881771
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.889744
Validation Accuracy = 0.878669
Testing Accuracy = 0.875712

During the 100-th epoch:
Training Accuracy = 0.893594
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 200-th epoch:
Training Accuracy = 0.896618
Validation Accuracy = 0.880626
Testing Accuracy = 0.875712

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.87666

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.874763

During the 700-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.88454
Testing Accuracy = 0.877609

During the 1000-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.877609

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.882046
Validation Accuracy = 0.886497
Testing Accuracy = 0.879507

During the 50-th epoch:
Training Accuracy = 0.890844
Validation Accuracy = 0.882583
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.894418
Validation Accuracy = 0.882583
Testing Accuracy = 0.87666

During the 200-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.880626
Testing Accuracy = 0.86907

During the 300-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.886497
Testing Accuracy = 0.873814

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.888454
Testing Accuracy = 0.873814

During the 700-th epoch:
Training Accuracy = 0.897168
