Result of the experiment
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.898818
Validation Accuracy = 0.870841
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.905142
Validation Accuracy = 0.790607
Testing Accuracy = 0.813093

During the 200-th epoch:
Training Accuracy = 0.980203
Validation Accuracy = 0.821918
Testing Accuracy = 0.837761

During the 300-th epoch:
Training Accuracy = 0.991202
Validation Accuracy = 0.843444
Testing Accuracy = 0.850095

During the 500-th epoch:
Training Accuracy = 0.997525
Validation Accuracy = 0.81409
Testing Accuracy = 0.817837

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.83112

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.833659
Testing Accuracy = 0.830171

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.890844
Validation Accuracy = 0.888454
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.931262
Validation Accuracy = 0.870841
Testing Accuracy = 0.85389

During the 200-th epoch:
Training Accuracy = 0.986527
Validation Accuracy = 0.841487
Testing Accuracy = 0.835863

During the 300-th epoch:
Training Accuracy = 0.993676
Validation Accuracy = 0.831703
Testing Accuracy = 0.818786

During the 500-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.83953
Testing Accuracy = 0.819734

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.835616
Testing Accuracy = 0.825427

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.819961
Testing Accuracy = 0.81499

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.898268
Validation Accuracy = 0.880626
Testing Accuracy = 0.870968

During the 100-th epoch:
Training Accuracy = 0.924388
Validation Accuracy = 0.837573
Testing Accuracy = 0.820683

During the 200-th epoch:
Training Accuracy = 0.978554
Validation Accuracy = 0.816047
Testing Accuracy = 0.822581

During the 300-th epoch:
Training Accuracy = 0.992851
Validation Accuracy = 0.843444
Testing Accuracy = 0.835863

During the 500-th epoch:
Training Accuracy = 0.999175
Validation Accuracy = 0.792564
Testing Accuracy = 0.821632

During the 700-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.800391
Testing Accuracy = 0.83112

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.796477
Testing Accuracy = 0.829222

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.901567
Validation Accuracy = 0.8591
Testing Accuracy = 0.859583

During the 100-th epoch:
Training Accuracy = 0.933736
Validation Accuracy = 0.794521
Testing Accuracy = 0.815939

During the 200-th epoch:
Training Accuracy = 0.983778
Validation Accuracy = 0.804305
Testing Accuracy = 0.817837

During the 300-th epoch:
Training Accuracy = 0.995601
Validation Accuracy = 0.819961
Testing Accuracy = 0.823529

During the 500-th epoch:
Training Accuracy = 0.994226
Validation Accuracy = 0.833659
Testing Accuracy = 0.827324

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.812133
Testing Accuracy = 0.817837

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.808219
Testing Accuracy = 0.818786

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.899643
Validation Accuracy = 0.876712
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.941435
Validation Accuracy = 0.841487
Testing Accuracy = 0.848197

During the 200-th epoch:
Training Accuracy = 0.977454
Validation Accuracy = 0.843444
Testing Accuracy = 0.850095

During the 300-th epoch:
Training Accuracy = 0.992026
Validation Accuracy = 0.831703
Testing Accuracy = 0.833017

During the 500-th epoch:
Training Accuracy = 0.991201
Validation Accuracy = 0.835616
Testing Accuracy = 0.8463

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.821918
Testing Accuracy = 0.837761

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.829746
Testing Accuracy = 0.841556

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.903217
Validation Accuracy = 0.864971
Testing Accuracy = 0.859583

During the 100-th epoch:
Training Accuracy = 0.948584
Validation Accuracy = 0.835616
Testing Accuracy = 0.834915

During the 200-th epoch:
Training Accuracy = 0.982403
Validation Accuracy = 0.806262
Testing Accuracy = 0.798862

During the 300-th epoch:
Training Accuracy = 0.995876
Validation Accuracy = 0.837573
Testing Accuracy = 0.833966

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.819961
Testing Accuracy = 0.815939

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.825832
Testing Accuracy = 0.813093

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.81409
Testing Accuracy = 0.796015

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.907891
Validation Accuracy = 0.882583
Testing Accuracy = 0.870019

During the 100-th epoch:
Training Accuracy = 0.941435
Validation Accuracy = 0.864971
Testing Accuracy = 0.859583

During the 200-th epoch:
Training Accuracy = 0.974704
Validation Accuracy = 0.847358
Testing Accuracy = 0.855788

During the 300-th epoch:
Training Accuracy = 0.963156
Validation Accuracy = 0.825832
Testing Accuracy = 0.851044

During the 500-th epoch:
Training Accuracy = 0.99725
Validation Accuracy = 0.816047
Testing Accuracy = 0.833017

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.833659
Testing Accuracy = 0.842505

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.829746
Testing Accuracy = 0.839658

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.897718
Validation Accuracy = 0.888454
Testing Accuracy = 0.875712

During the 100-th epoch:
Training Accuracy = 0.934286
Validation Accuracy = 0.837573
Testing Accuracy = 0.820683

During the 200-th epoch:
Training Accuracy = 0.964806
Validation Accuracy = 0.841487
Testing Accuracy = 0.848197

During the 300-th epoch:
Training Accuracy = 0.991751
Validation Accuracy = 0.837573
Testing Accuracy = 0.822581

During the 500-th epoch:
Training Accuracy = 0.994776
Validation Accuracy = 0.833659
Testing Accuracy = 0.812144

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.829746
Testing Accuracy = 0.802657

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.829746
Testing Accuracy = 0.824478

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881496
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.900192
Validation Accuracy = 0.864971
Testing Accuracy = 0.866224

During the 100-th epoch:
Training Accuracy = 0.921089
Validation Accuracy = 0.800391
Testing Accuracy = 0.791271

During the 200-th epoch:
Training Accuracy = 0.982128
Validation Accuracy = 0.827789
Testing Accuracy = 0.828273

During the 300-th epoch:
Training Accuracy = 0.994226
Validation Accuracy = 0.808219
Testing Accuracy = 0.814042

During the 500-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.818004
Testing Accuracy = 0.816888

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.816047
Testing Accuracy = 0.829222

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.810176
Testing Accuracy = 0.826376

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.902117
Validation Accuracy = 0.863014
Testing Accuracy = 0.865275

During the 100-th epoch:
Training Accuracy = 0.949134
Validation Accuracy = 0.812133
Testing Accuracy = 0.813093

During the 200-th epoch:
Training Accuracy = 0.983228
Validation Accuracy = 0.837573
Testing Accuracy = 0.839658

During the 300-th epoch:
Training Accuracy = 0.995876
Validation Accuracy = 0.812133
Testing Accuracy = 0.821632

During the 500-th epoch:
Training Accuracy = 0.9967
Validation Accuracy = 0.802348
Testing Accuracy = 0.811195

During the 700-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.819961
Testing Accuracy = 0.822581

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.819961
Testing Accuracy = 0.829222

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.888454
Testing Accuracy = 0.880455

During the 50-th epoch:
Training Accuracy = 0.907891
Validation Accuracy = 0.878669
Testing Accuracy = 0.867173

During the 100-th epoch:
Training Accuracy = 0.947484
Validation Accuracy = 0.855186
Testing Accuracy = 0.840607

During the 200-th epoch:
Training Accuracy = 0.977179
Validation Accuracy = 0.855186
Testing Accuracy = 0.836812

During the 300-th epoch:
Training Accuracy = 0.97113
Validation Accuracy = 0.808219
Testing Accuracy = 0.795066

During the 500-th epoch:
Training Accuracy = 0.993951
Validation Accuracy = 0.855186
Testing Accuracy = 0.845351

During the 700-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.819961
Testing Accuracy = 0.809298

During the 1000-th epoch:
Training Accuracy = 0.998075
Validation Accuracy = 0.835616
Testing Accuracy = 0.83112

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.88454
Testing Accuracy = 0.882353

During the 50-th epoch:
Training Accuracy = 0.900742
Validation Accuracy = 0.882583
Testing Accuracy = 0.871917

During the 100-th epoch:
Training Accuracy = 0.874622
Validation Accuracy = 0.776908
Testing Accuracy = 0.754269

During the 200-th epoch:
Training Accuracy = 0.952983
Validation Accuracy = 0.866928
Testing Accuracy = 0.856736

During the 300-th epoch:
Training Accuracy = 0.994226
Validation Accuracy = 0.833659
Testing Accuracy = 0.826376

During the 500-th epoch:
Training Accuracy = 0.994226
Validation Accuracy = 0.796477
Testing Accuracy = 0.800759

During the 700-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.819961
Testing Accuracy = 0.833017

During the 1000-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.831703
Testing Accuracy = 0.827325

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.899093
Validation Accuracy = 0.878669
Testing Accuracy = 0.854839

During the 100-th epoch:
Training Accuracy = 0.93951
Validation Accuracy = 0.874755
Testing Accuracy = 0.85389

During the 200-th epoch:
Training Accuracy = 0.970305
Validation Accuracy = 0.864971
Testing Accuracy = 0.839658

During the 300-th epoch:
Training Accuracy = 0.995876
Validation Accuracy = 0.825832
Testing Accuracy = 0.814991

During the 500-th epoch:
Training Accuracy = 0.989277
Validation Accuracy = 0.810176
Testing Accuracy = 0.79222

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.853229
Testing Accuracy = 0.832068

During the 1000-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.849315
Testing Accuracy = 0.824478

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.880455

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.882353

During the 50-th epoch:
Training Accuracy = 0.902942
Validation Accuracy = 0.872798
Testing Accuracy = 0.862429

During the 100-th epoch:
Training Accuracy = 0.920539
Validation Accuracy = 0.804305
Testing Accuracy = 0.805503

During the 200-th epoch:
Training Accuracy = 0.979104
Validation Accuracy = 0.804305
Testing Accuracy = 0.836812

During the 300-th epoch:
Training Accuracy = 0.990102
Validation Accuracy = 0.810176
Testing Accuracy = 0.826376

During the 500-th epoch:
Training Accuracy = 0.996975
Validation Accuracy = 0.808219
Testing Accuracy = 0.816888

During the 700-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.819961
Testing Accuracy = 0.848197

During the 1000-th epoch:
Training Accuracy = 0.9978
Validation Accuracy = 0.821918
Testing Accuracy = 0.841556

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.880946
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 20-th epoch:
Training Accuracy = 0.881221
Validation Accuracy = 0.886497
Testing Accuracy = 0.881404

During the 50-th epoch:
Training Accuracy = 0.895518
Validation Accuracy = 0.876712
Testing Accuracy = 0.879507

During the 100-th epoch:
Training Accuracy = 0.929612
Validation Accuracy = 0.8591
Testing Accuracy = 0.851044

During the 200-th epoch:
Training Accuracy = 0.969755
Validation Accuracy = 0.825832
Testing Accuracy = 0.826376

During the 300-th epoch:
Training Accuracy = 0.992851
Validation Accuracy = 0.835616
Testing Accuracy = 0.837761

During the 500-th epoch:
Training Accuracy = 0.99835
Validation Accuracy = 0.845401
Testing Accuracy = 0.854839

During the 700-th epoch:
Training Accuracy = 0.9989
Validation Accuracy = 0.833659
Testing Accuracy = 0.839658

During the 1000-th epoch:
Training Accuracy = 0.998625
Validation Accuracy = 0.812133
Testing Accuracy = 0.837761

